Symbol,info,Price info Wrapper
MCA,"['Services/-', 'mai']","{'Paid-up(M.Baht)': '115.00', 'MarketCap(M.Baht)': '501.40', 'EV(M.Baht)': '437.55', 'EBITDA(M.Baht)': '9.37', 'EV/EBITDA': '12.35', 'Price(Baht)': '2.18', '52WeekHigh/Low': '4.16/1.22', 'P/E(X)': '18.80', 'P/BV(X)': '1.65'}"
MEB,"['Services/-', 'mai']","{'Paid-up(M.Baht)': '150.00', 'MarketCap(M.Baht)': '9,225.00', 'EV(M.Baht)': '8,056.14', 'EBITDA(M.Baht)': '133.99', 'EV/EBITDA': '15.66', 'Price(Baht)': '30.75', '52WeekHigh/Low': '38.75/28.00', 'P/E(X)': '22.80', 'P/BV(X)': '7.17'}"
MORE,"['Services/-', 'mai']","{'Paid-up(M.Baht)': '358.84', 'MarketCap(M.Baht)': '430.60', 'EV(M.Baht)': '306.59', 'EBITDA(M.Baht)': '10.62', 'EV/EBITDA': '-1.50', 'Price(Baht)': '0.06', '52WeekHigh/Low': '0.13/0.04', 'P/E(X)': '-', 'P/BV(X)': '0.30'}"
MVP,"['Services/-', 'mai']","{'Paid-up(M.Baht)': '168.63', 'MarketCap(M.Baht)': '279.93', 'EV(M.Baht)': '495.25', 'EBITDA(M.Baht)': '14.50', 'EV/EBITDA': '-2.13', 'Price(Baht)': '0.83', '52WeekHigh/Low': '2.30/0.61', 'P/E(X)': '-', 'P/BV(X)': '1.42'}"
NCL,"['Services/-', 'mai']","{'Paid-up(M.Baht)': '132.06', 'MarketCap(M.Baht)': '295.81', 'EV(M.Baht)': '896.42', 'EBITDA(M.Baht)': '-17.87', 'EV/EBITDA': '-2.91', 'Price(Baht)': '0.56', '52WeekHigh/Low': '2.26/0.33', 'P/E(X)': '-', 'P/BV(X)': '1.00'}"
NEWS,"['Services/-', 'mai']","{'Paid-up(M.Baht)': '183,644.88', 'MarketCap(M.Baht)': '1,056.50', 'EV(M.Baht)': '1,343.51', 'EBITDA(M.Baht)': '-43.58', 'EV/EBITDA': '-3.00', 'Price(Baht)': '0.01', '52WeekHigh/Low': '0.03/0.01', 'P/E(X)': '-', 'P/BV(X)': '1.42'}"
PEER,"['-/-', '']","{'Paid-up(M.Baht)': '-', 'MarketCap(M.Baht)': '-', 'EV(M.Baht)': '-', 'EBITDA(M.Baht)': '-', 'EV/EBITDA': '-', 'Price(Baht)': '-', '52WeekHigh/Low': '-/-', 'P/E(X)': '-', 'P/BV(X)': '-'}"
PICO,"['Services/-', 'mai']","{'Paid-up(M.Baht)': '215.29', 'MarketCap(M.Baht)': '874.10', 'EV(M.Baht)': '992.45', 'EBITDA(M.Baht)': '12.50', 'EV/EBITDA': '31.85', 'Price(Baht)': '4.06', '52WeekHigh/Low': '5.20/3.20', 'P/E(X)': '71.31', 'P/BV(X)': '2.22'}"
PLT,"['Services/-', 'mai']","{'Paid-up(M.Baht)': '480.00', 'MarketCap(M.Baht)': '768.00', 'EV(M.Baht)': '1,217.78', 'EBITDA(M.Baht)': '70.23', 'EV/EBITDA': '5.34', 'Price(Baht)': '0.80', '52WeekHigh/Low': '1.21/0.68', 'P/E(X)': '18.88', 'P/BV(X)': '0.92'}"
QLT,"['Services/-', 'mai']","{'Paid-up(M.Baht)': '98.57', 'MarketCap(M.Baht)': '254.31', 'EV(M.Baht)': '303.18', 'EBITDA(M.Baht)': '7.04', 'EV/EBITDA': '-2.70', 'Price(Baht)': '2.58', '52WeekHigh/Low': '4.86/1.47', 'P/E(X)': '-', 'P/BV(X)': '0.86'}"
RP,"['Services/-', 'mai']","{'Paid-up(M.Baht)': '200.81', 'MarketCap(M.Baht)': '238.97', 'EV(M.Baht)': '880.01', 'EBITDA(M.Baht)': '26.88', 'EV/EBITDA': '27.79', 'Price(Baht)': '1.19', '52WeekHigh/Low': '2.44/1.04', 'P/E(X)': '-', 'P/BV(X)': '0.45'}"
